['OR Dunell', 21.17, 500, 'Bat', 1889, 1889, 0.5, 1.2, 0]
['CE Finlason', 18.68, 72.37, 'Bat', 1889, 1889, 0.5, 1.2, 0]
['P Hutchinson', 12.13, 500, 'Bat', 1889, 1889, 0.5, 1.2, 0]
['GA Kempis', 11.06, 61.53, 'Med', 1889, 1889, 0.5, 1.2, 0]
['WH Milton', 19.37, 312.17, 'PartMed', 1889, 1892, 0.5, 1.2, 2]
['AE Ochse', 18.16, 500, 'Bat', 1889, 1889, 0.5, 1.2, 0]
['A Rose-Innes', 13.38, 60.91, 'OpenSpin', 1889, 1889, 0.5, 1.2, 0]
['FW Smith', 18.36, 500, 'WK', 1889, 1896, 0.5, 1.2, 0]
['RB Stewart', 14.56, 500, 'Bat', 1889, 1889, 0.5, 1.2, 0]
['AB Tancred', 34.69, 500, 'OpenBat', 1889, 1889, 0.5, 1.2, 0]
['CH Vintcent', 15.16, 89.46, 'Fast', 1889, 1892, 0.5, 1.2, 0]
['WH Ashley', 10.8, 58.73, 'Med', 1889, 1889, 0.1111111111111111, 1.2, 0]
['WHM Richards', 10.91, 500, 'Bat', 1889, 1889, 0.2222222222222222, 1.2, 0]
['NHCD Theunissen', 16.81, 78.04, 'PartFast', 1889, 1889, 0.4, 1.2, 0]
['G Cripps', 23.64, 306.91, 'Bat', 1892, 1892, 0.5, 1.2, 0]
['JF du Toit', 10.23, 306.91, 'PartMed', 1892, 1892, 0.5, 1.2, 0]
['CG Fichardt', 11.0, 500, 'Bat', 1892, 1896, 0.5, 1.2, 0]
['EA Halliwell', 14.56, 492.21, 'WK', 1892, 1902, 0.5, 1.2, 3]
['F Hearne', 19.86, 62.05, 'OpenBat', 1889, 1896, 0.5, 1.2, 0]
['CH Mills', 19.2, 72.51, 'Med', 1892, 1892, 0.5, 1.2, 0]
['DC Parkin', 15.18, 65.26, 'Med', 1892, 1892, 0.5, 1.2, 0]
['TW Routledge', 16.66, 500, 'OpenBat', 1892, 1896, 0.5, 1.2, 0]
['CS Wimble', 17.1, 500, 'Bat', 1892, 1892, 0.5, 1.2, 0]
['FJ Cook', 12.56, 480.96, 'Bat', 1896, 1896, 0.5, 1.2, 0]
['RA Gleeson', 13.02, 480.96, 'Bat', 1896, 1896, 0.5, 1.2, 0]
['CFW Hime', 11.64, 52.61, 'PartMed', 1896, 1896, 0.5, 1.2, 0]
['J Middleton', 5.23, 46.09, 'Spin', 1896, 1902, 0.5, 0.9300302996296711, 0]
['RM Poore', 25.05, 41.78, 'Bat', 1896, 1896, 0.5, 1.0416666666666665, 0]
['JH Sinclair', 29.07, 42.9, 'Fast', 1896, 1911, 0.5, 1.2, 0]
['JT Willoughby', 8.47, 240.48, 'Fast', 1896, 1896, 0.5, 1.2, 0]
['WHB Frank', 9.42, 240.48, 'PartMed', 1896, 1896, 0.5, 1.2, 0]
['CL Johnson', 13.05, 240.48, 'Fast', 1896, 1896, 0.5, 0.9542410714285714, 0]
['CB Llewellyn', 24.78, 38.59, 'Spin', 1896, 1912, 0.5, 1.2, 0]
['GA Rowe', 5.03, 47.35, 'Spin', 1896, 1902, 0.5, 1.0229414051984564, 0]
['GH Shepstone', 15.76, 58.74, 'PartFast', 1896, 1899, 0.5, 0.9115888152577988, 0]
['GK Glover', 21.1, 51.4, 'PartSpin', 1896, 1896, 0.5, 1.0096153846153846, 0]
['AR Richards', 13.7, 480.96, 'OpenBat', 1896, 1896, 0.5, 1.2, 0]
['AW Seccull', 21.68, 47.6, 'Med', 1896, 1896, 0.5, 1.2, 0]
['M Bisset', 18.7, 500, 'WK', 1899, 1910, 0.5, 1.2, 2]
['RR Dower', 10.81, 491.4, 'Bat', 1899, 1899, 0.5, 1.2, 0]
['HH Francis', 14.38, 491.4, 'Bat', 1899, 1899, 0.5, 1.2, 0]
['R Graham', 10.52, 58.42, 'Med', 1899, 1899, 0.5, 1.1847014925373134, 0]
['WRT Solomon', 10.32, 491.4, 'Bat', 1899, 1899, 0.5, 1.2, 0]
['VM Tancred', 18.18, 491.4, 'OpenBat', 1899, 1899, 0.5, 1.2, 0]
['F Kuys', 16.52, 47.4, 'Med', 1899, 1899, 0.5, 1.1567164179104477, 0]
['AW Powell', 12.95, 53.27, 'OpenBat', 1899, 1899, 0.5, 1.1194029850746268, 0]
['CFH Prince', 12.76, 491.4, 'Bat', 1899, 1899, 0.5, 1.2, 0]
['WA Shalders', 18.57, 242.52, 'OpenBat', 1899, 1907, 0.5, 0.8, 0]
['CMH Hathorn', 19.79, 478.09, 'Bat', 1902, 1911, 0.5, 1.2, 0]
['AW Nourse', 34.88, 44.84, 'PartMed', 1902, 1924, 0.5, 1.0364250343695358, 0]
['CJE Smith', 21.4, 485.04, 'Bat', 1902, 1902, 0.5, 1.2, 0]
['HM Taberer', 11.1, 59.92, 'PartFast', 1902, 1902, 0.5, 1.2, 0]
['LJ Tancred', 23.89, 477.71, 'OpenBat', 1902, 1913, 0.5, 1.2, 3]
